name,time/op (ns/op),±
Gol/512x512x1000-1-10,8.76328E+09,0%
Gol/512x512x1000-2-10,6.08983E+09,0%
Gol/512x512x1000-3-10,5.19188E+09,0%
Gol/512x512x1000-4-10,4.72334E+09,0%
Gol/512x512x1000-5-10,4.46837E+09,0%
Gol/512x512x1000-6-10,4.55340E+09,0%
Gol/512x512x1000-7-10,4.48094E+09,0%
Gol/512x512x1000-8-10,4.17833E+09,0%
Gol/512x512x1000-9-10,4.62210E+09,0%
Gol/512x512x1000-10-10,4.59315E+09,0%
Gol/512x512x1000-11-10,4.45268E+09,0%
Gol/512x512x1000-12-10,4.38357E+09,0%
Gol/512x512x1000-13-10,4.38391E+09,0%
Gol/512x512x1000-14-10,4.44608E+09,0%
Gol/512x512x1000-15-10,4.42185E+09,0%
Gol/512x512x1000-16-10,4.20886E+09,0%
